,comments
332,애교쟁인줄은 알았는데<br>않이 애교쟁이ㅎㅎㅎ<br>배구 국대로 언니하고<br>궁짝이 잘 맛드라구요<br>재가 여배구 찐펜 이거던<br>요ㅎㅎㅎ 김연경 언니와<br>함께 우리나라 배구위상을<br>올리는데 함목 하드군요
333,키가179면 너무 크지않나?ㅋㅋㄱㅋㅋ<br>별로ㅋㄱㅋㅋ
334,유투버 본인이 빠진거같은데 ㅡㅡㅋㅋ
335,수영복 야하노
336,귀엽당^^
337,나도 그 중독 좀 받아보고 싶다~
338,쌍둥이였구나 ㅋㅋㅋ
339,유전자가
340,다영에대해 많은걸 알았네요<br>대단히감사합니다<br>세계적인 선수가되길 바래요<br>좋은인연 감사드리고 행복하세요
341,근데... 나두 좋아 한다... ㅎ
342,인터뷰 같은것도 없고<br>인터넷서치해서 나온내용 + 인터넷 사진 + 각종 방송영상 무단도용<br>해서 만든 내용이네ㅠㅠ<br>일단 저작권으로 신고부터
343,"이런돈벌이장사치들구독,나빠요.퇴출시키자"
344,이게 이쁜가...........................................................?<br>그냥 기럭지빨이지 얼굴로만 보면...음...그래...그래...이쁘다
345,이다영을 싫어 할 이유가 없지 않나
346,성형은 이제 그만 naver...
347,네이버?
348,일란성인데 쌍수하나 정말 예쁘게 잘했네..
349,저 키여도 저 얼굴이면 저 죽어요 사랑해요 누나
350,운동하면 쫄깃쫄깃하니까
351,아니 그알인줄 알고 이 분이 무슨 사건이라도 일으킨줄 ㅋㅋㅋㅋ
352,내 친구 의고에서 이다영선수 코스프레 했던데
353,"<a href=""https://www.youtube.com/watch?v=l5tDfGz2C4w&amp;t=4m26s"">4:26</a> 아니 이 흑누나가 어딜 만져? ㄷㄷ"
354,팔인데;;
355,뭐라는거야
356,짜증남 이다영 이재영<br>므라고 젤사랑스러워  ..gd에 미린들이 다잇는데
357,179가 센터 중에 크면 김연경은 모임
358,센터말고 세터욥
359,Dd
360,비인기 종목 여자 배구 를  주로 재미게 보는데  큰역활요   이다영 자매 때문에   여자배구  재미게 보고 있어요?
361,운동선수가 성형으로 이뻐진거는좀...절레절레
362,정말 예쁘고 아름답다♡
363,"이미 빠져서 들어옴,,"
364,다 좋은데 왜 반말로 나레이션하시는지..ㅋㅋ
365,@토끼사장님 그럼 니는 유튜버한테 왜 반말하냐고 말할 자격있음?
366,@심영태 ㅇㅇ그래서 안봄 ㅋㅋ 차단함 니나 남 보라마라 말할자격있음? ㅋㅋ
367,꼬우면 보지 말던가 ㅋㅋ
368,존댓말은 영상이 길어져서여 ㅎ 죄송합니다
369,난 남잔데 여자 쌍수한 거는 아무 생각도 안드는데 걍 개 흔한거 아닌가 왜 뭐라그러지
370,아무도 뭐라안하는데?
371,아...네 ...알고리즘으로 ...
372,성형한고아닌가?
373,오마이걸 효정느낌나넹
374,와 빠져든다
375,코 수술한건줄 알았는데 아니였네
376,제발 마스크좀 쓰고다녔으면; 이번에 코로나 시작하고 신천지땜에 ㅈㄴ심해졌어도 수원에서 마스크도 안쓰고다니는데...
377,둘다너무귀여우시다♥
378,할짓없군
379,"<a href=""https://www.youtube.com/watch?v=l5tDfGz2C4w&amp;t=3m25s"">3:25</a> 여러분들의 시간은 소중하니까요"
380,쌍커풀 전에는 똑같네 똑같애 ㅋ 귀욥
381,솔직히 이재영은 여자 배구  역대급인데<br>이다영은 그닥....<br>이재영이 키가5cm만 더 컷어도<br>월드스타
382,180에  60키로  ㅋㅋㅋㅋ  장난하나  68은  되겠구만  구라좀  치지마
383,요즘 여자배구 쌍둥이+식빵언니 보는 재미로 보는데 ㅋ
384,"<a href=""https://www.youtube.com/watch?v=l5tDfGz2C4w&amp;t=02m47s"">02:47</a> 벗어날수 없다"
385,성형 너무티나서 별루
386,초면에 사랑합니다.
387,썸네일 참을수 없지
388,국대집엔 뭐누; ㄷ
389,와...애교...😖😖😖😖
390,지혼자 개인적인거 아닌가ㅋ
391,♡
392,이보게 여기 구마적 못 봤는가?
393,이거뭐라고 두번세번보냐
394,고거고거 아주 이쁘구만기래
395,집안이 우월한 유전자. 그래 타고나는거에 노력이 더해지는거지. 유전자는 이길수가 없더라
396,이누님 성형전 와꾸본사람ㅋㅋ
397,덕분에 바로 인스타 팔로우 박았습니다 . 고급정보 감사합니다 사랑해요
398,나도 10월15일 익산출신인데
399,관종
400,성형중독녀
401,뭐 하나 잘 못 하다가 걸려서 따귀 맞으면 ㅡㅡ 조상님 뵙고 정신 바짝 차려서 혹시나 하는 마음에 로또 번호 물어보고 올 수 있음 ! 개이득
402,과거사진보면ㅋㅋㅋㅋㅋㅋ
403,쌍꺼플 한거죠?
404,남성고 보자마자 익산사람인걸 알아봄
405,평범하신데....
406,나도 전북익산에서 태어났는데
407,뽀뽀공
408,"<a href=""https://www.youtube.com/watch?v=l5tDfGz2C4w&amp;t=3m26s"">3:26</a> 화력지원 부탁"
409,음 양호입감
410,"성형을 어디서 하셨길래.......우리 동네 술집 아가싸들하고 똑같이 했네요,,,,,,,"
411,썸네일 왼쪽보고 들어왔네요 😂
412,알고리즘 제데로선택됫내 ㅋㅋ
413,존나이쁟
414,저 공이 되고 싶다 !!!
415,나두 뽑뽀~~♡♡
416,안찾음
417,출신학교 정확히 해줘야죠ㅋㅋ 진주고가 아니고 진주 선명여고입니다ㅋㅋㅋ
418,형님 경쟁잘 한명ㄹ리셨군요
419,"이다영 선수 인스타 입니다. <a href=""https://www.instagram.com/davely___j/"">https://www.instagram.com/davely___j/</a> 악플은 자제해주세요"
420,역시 어메이징 익산
421,아.... 이뻐
422,성형한곳 공맞으면 급사하는거아님 ?
423,여자는 키 170  넘어가면 별로
424,실력 외모 성격 끼 다가졌네 <br>이름까지도 귀여움ㅋㅋ<br>다영
425,최고의실력<br>ㅋㅋㅋㅋㅋㅋㅋㅋㅋ최고의 관종
426,아니 그냥 부럽다면 그냥 부럽다고해 그냥 말도 안되는 소리 지껄이지말고 댓다는 놈들아
427,"내키가 164 남자인데, 난 179인 이다영과 결혼할거다!!<br><br>2세는 엄마키 유전이거덩!!"
428,@duxu zqxk 혼모노
429,이새끼뭐야
430,와....얼굴이뻐 운동잘해 몸매 좋아<br> 멋쟁이구만
431,개인차가있겠지만 이쁜건모르겠는데 그냥평범한데 키크고 몸매좋아서 이쁘게더 보이는 케이스인듯 정확히
432,몸매 미쳤네 ㅗㅜㅑ
433,이다영 정말 사랑스러워요 배구도 잘하고 앞으로 더욱 기대합니다 💕
434,충격인게 둘이일란성임ㅋㅋ
435,어플의 능력이란........ ㄷㄷㄷ
436,쌍둥이의 질투심이 터지는거 아냐
437,배구하지말고 술집에가야지 공주병걸려가지고 성공하것냐  ㅋㅋ
438,세게체거날두 적어도 님인생보다는 성공한듯ㅋㅋ
439,어릴때랑 얼굴이 다른데? 같은사람 맞음?
440,진짜 유전자는 무시 못하는듯<br>그리고 성격도 한몫하겠지만 팬들을 위해 총대메고 행동한것도 몇개는 있을듯 심판과 섹시댄스라든지?
441,코리아fc 의느님 ㅋㅋ
442,여자들이 이래서 쌍커플 수술하는구나...
443,나랑 생일 하루차이넹 홀리
444,어우 설치는것들 밥맛
445,뭐랄까... 가정에서 굉장히 사랑받고 반듯하게 잘 자란 듯한 느낌의 선수
446,단발때도 이쁘다..
447,전북익산 대박
448,타고난 운동 금수저 ㅎㅎㅎ
449,노는언니에서 자매가 한두번 나오더니 왜 안나오는 거에요?
450,다영이 누나
451,내 생일이랑 똑같네 ㅎㅎ
452,스폰 장난아니겠네요.
453,무슨뜻?
454,ㅋㅋ 이쁜게 최고지 시벌
455,애교로 등짝스매싱 맞아 줄수 있는 사람만이 도전 가능할거시다
456,다 필요없고 핵 사랑한다.
457,노는  언니에서  첨봣어요..   너무  귀여워서 팬됐어요..  까르르 웃던  순수한  모습  보기좋아요~^^
458,"솔직히 썸네일 보고 들어와서 찾는사림 좋아요눌러 ㅋㅋㅋㅋㅋㅋ (난 아님) <a href=""https://www.youtube.com/watch?v=l5tDfGz2C4w&amp;t=3m27s"">3:27</a> (근데 이건 몸매가 좋은거니까 들어올....퍽퍽??)"
459,얼굴이 너무 부자연스러워
460,후천성 이란성 쌍둥이
461,근데 배구선수 발냄새가 엄청심하다는데 진실일까요ㅡㅡㅋ
462,키가 나랑 3센티차이다... 182인데 현타온다...
463,절대 처음부터 잘한 선수는 아님... 3년전만해도 계륵취급받았지..<br>꾸역꾸역 출장하더니 포텐터지기 시작하고 급성장함. <br>투어택 백토스 스파이크 수비력 셋팅능력 뭐하나 빠지는거 없음.<br>사실 여자 배구에는 공격형 세터가 별로 없는데 이다영은 워낙 독보적이라<br>더 눈에 띄는것도 있음...
464,Aquaring 공격형 세터가 가능한 이유는 키.. 남배도 여배도 세터가 왠만한 공격수 만큼 키큰 경우가 거의 없기 때문에 공격형 세터라는 캐릭터 자체가 없음 공격을 하고 싶어도 못함...
465,여자키 180이랑 가까우면 진짜 별로임
466,러블리 그 자체
467,동상의 쌍꺼풀은 실수다? 둘 다 실력은 인정!<br>공부도 재능도 재주도 일단 타고나야 ᆢ축복이다.
468,운동집안이네ㅋ
469,너두? 나두!
470,실제로 옆에 있으면 어지간한 남자들보다 크겠네ㄷㄷ
471,성형티 너무남.. 자연미인 이재영이 갑이지
472,쿵쾅이
473,쿵쾅쿵쾅
474,가능
475,관심없다. 치아라..시시해서 못봐주겠네.
476,쿵쾅쿵쾅
477,오마이걸 효정님 살짝 닮은 듯
478,쌍수차이가 이정도인가
479,와 매력넘치게 이쁘시네 ^^
480,이다영이란 사람 오늘첨알앗는대 정상?
481,"<a href=""https://www.youtube.com/watch?v=l5tDfGz2C4w&amp;t=5m10s"">5:10</a> 왼쪽사진 한지민 업그레이드 버전같기도 하다 미모가 대단하시네요"
482,난 이재영 이좋은데
483,쌍커플 차이 ㅋㅋㅋㅋㅋ 비밀이라고?
484,진짜이쁘구먼
485,쌍수 안한게 더 예쁘고 귀여운듯
486,난재영이
487,나만좋아할거야ㅋㅣㄱ
488,안돼/내가먼저좋아했어/수술전부터/
489,순발력최고!!!...<br>이다영선수만큼 순발력 최고인 여자 선수는 없다...타고난 순발력 잘 살려서 여자배구 올림픽 금메달 꼬옥 따주세요~ 이번엔 진짜 기대 할만 합니다....<br> 이다영선수의 기만살면 올림픽 금메달 따논당상인듯...👍다영선수최고!!!<br>ㅇ홧~~~팅ㅇ
490,이쁘게 잘고쳤네....
491,배구안봐도 사랑스러워보임 쌍수전사진보고 이말취소
492,유트버가 빠진것 같은데? 사심이 가득해 보인다
493,엄첨이쁨  아는언니반함
494,키나보다작네
495,이다영 매력이 넘치긴함
496,이다영은 얼굴을 그렇게 만졌는데 <br>난 이재영이 더 좋다
497,재영 전국민한테 욕먹을때 혼자만 성형해서이뻐짐
498,"@앙옥슬띠 경기중,쌔라머니&lt;식빵&gt;해서,그당시,다영이는,빽업&lt;후보&gt;.부상.시절"
499,베베꼬인것 보소
500,뭔 멍서리지? 자신이 만족하면 된거고 두 선수들이 요즘 사람들이 비교하는거 안좋아하는데 굳이 그렇게까지 깎아 내릴 필요 있나싶에여~
501,뭔말임
502,대체 어떤 부분에서 빠져야 하는거지?
503,이다영 엄마 엄청 드세다고 들음
504,라인 36ww   인연되면 커피라도 한잔 깍꿈
505,60??? 60 이면 뼈밖에없을텐데?
506,이 영상에서 나레이션 빼고 한번더 갑시다
507,ㅋㅋㅋ어휴~뭔 말을 못해유~영상 너무 잘봤어유
508,ㅠㅠ 담엔 좀 덜불편하게 만들어볼게요 ㅠㅠ
509,푹덕푹덕하고 싶다
510,뽀뽀공 팝니다;;
511,진짜여..?
512,"<a href=""https://www.youtube.com/watch?v=l5tDfGz2C4w&amp;t=4m21s"">4:21</a> 흑누님한텐 안됨"
513,ㄹㅇ 벽느꼈을꺼같은데 ㅋㅋㅋㅋ흑누님 ㄷ
514,흑누나는 벽이지 ㄹㅇ
515,전북 ! 익산 !
516,난 연경누나가 최고야!!!.....<br>다롱이는 2등... 크흠..
517,진주고등학교 남곤데..
518,전주요
519,다영이 성형전 사진 보면 연예인 대쉬가 개좆같은 소리라는걸 알텐데
520,"유퀴즈에서 처음보긴 했지만<br>반하지는 않음<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>박보영, 아이유 미만 잡"
521,인스타 보면 여신놀이 존나하던데
522,걍 엘리트집안이넉ㅋㄲ
523,엘리트 학폭가해자죠.
524,솔직히 운동선수 아닌거 같다 모델인거같다
525,모델이 다 죽었나봅니다.
526,이쁨도 애교도 실력도 만점 ~~~~~~
527,사복으로 밖에다니면 진짜 모델인줄알겟네.. 남자들 다 난쟁이만들듯
528,이다영 별로
529,날라린가...차분한 이재영이 낫다
530,크고 아름다워.
531,키커서 탈락! ㅜㅜ
532,빨리 늙을것 같은 이다영
533,솔직히 외모보면 뭣이라고라고라???
534,외모는 인정하지만 실력은 ..
535,"잘 몰랏는데 노는언니 보고 알았다.<br>재영, 다영 두선수 다 매력있던데~ <br>배구로 세계에서 인정받는 두 자매분이 되시길 응원할께요^^"
536,ㄹㅇ 사복패션 여신이네
537,이재영 이다영 선수들 노는언니에서 처음봤는데 활발하고 귀엽더라구요 ㅋㅋㅋ 근데 한번나오고 안나와서 너무 안타깝네요ㅜㅜ
538,지금 한창 배구시즌이니 어쩔 수 없는듯 ㅠ
539,현역이라그런듯ㅠ
540,배구보다가 얘 나오면 돌린다.<br>경기보다 외적모습을 더 신경쓰는것 같아서 싫더라.
541,기억에 남는건 김흥국 문근영....
542,진짜 유전자가 힘이다
543,유트브의 알수없는 추천영상으로 이다영 동영상을 본후 홀릭되서 김연경외에는 몰랐던 내가 배구규칙부터 모든선수를 알게되고 lg야구외에 응원하는 프로팀이 생긴...<br>운동선수라면 진중하고 무거운데 전혀 반대되는 밝고 톡톡튀는 케릭성이 너무 좋은
544,@나락 한ㅋㅋㅋㅋㅋㅋ화ㅋㅋㅋㅋㅋㅋㅋ <br>응원합니다
545,@정현준 스마트폰 ㅇㅈ 미라클 두산! 화이팅!
546,@나락 아 ㅆ 오늘...
547,야구는 한화죠....
548,LG 근본이지 당신 배운사람
549,ㅅㄱ
550,겨드랑이가 너무 예쁨 ㄹㅇ
551,"좀,유치하다,위험수준이다,사고방식이수상해,,,,,,,"
552,나만 저분 빈지노 닮은거같나
553,나보다 커서 패스
554,@윤보스 그나물에 그좇이다
555,"잘,생각했다,경쟁자.한분가시고......."
556,진짜 올해 흥국 리그 우승 못하면 그건 감독 문제다
557,아니 형 렌즈짤이없어?
558,후우 영업 당할뻔했다...너무 잔망스러워서 다시 한번 봐야겠다
559,이다영양이 <br>언니보다 외적인부분에더 관심많아서 꾸미는거나 성형을 먼저 한거같아요 ㅎ<br>얼굴도더이뻐지고ㅎ 옷도 이쁘게잘입고<br>그쪽으로 한명이더 탁월한거겠죠<br>쌍둥이라도 다르네요 ㅎㅎ
560,저춤이 섹쉬하다고...?그냥 막춤인데...난 이재영이 더 좋던데...
561,쌍커풀을 성공한 아주 좋은 예
562,"@KK 현대건설,김주하선수도비슷하다"
563,@우새 보형물 안넣었으면  지방이식한거랑 필러 오지게 맞았을듯 ㅋㅋ 성괴의 표본인데
564,성이름 ??? 이다영 성형전 얼굴 보고 말하는거지? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ눈만 했다기엔 너무 인위적인데 사람 얼굴 볼줄 모르나보네요
565,아니 왜 난 좋은의도로 말한건대 <br>댓글들 니들은 왜 니들끼리 싸워 ㅋㅋㅋㅋㅋㅋㅋ
566,꼬우면 성형 ㄱ
567,영상 개떡상하셧네여
568,179에 60키로면 얼마나 마른거야....? 그것도 근육 비중이 높을텐데 피지컬 개오진다 진짜
569,"<a href=""https://www.youtube.com/watch?v=l5tDfGz2C4w&amp;t=3m22s"">3:22</a> 왜 운동선수는 옷을 못입어야한다는듯 말하지 ㅋㅋ"
570,@김태현 <br>에이 그건아니지;; <br>호모씨 : 봐봐 내옷스타일?<br>맞는것 같기고 하네...
571,운동선수인데 옷 잘입는 사람이 흔치 않으니깐;;
